Time,NepseIndex
2000-08-14,364.24
2000-08-17,369.29
2000-08-18,373.99
2000-08-21,389.03
2000-08-23,400.09
2000-08-24,406.06
2000-08-25,416.94
2000-08-28,421.11
2000-08-29,425.27
2000-08-30,422.74
2000-08-31,423.63
2000-09-01,419.86
2000-09-04,417.92
2000-09-05,410.6
2000-09-06,401.43
2000-09-07,404.65
2000-09-08,395.27
2000-09-11,408.91
2000-09-13,417.24
2000-09-14,419.74
2000-09-15,421.18
2000-09-18,417.35
2000-09-19,419.6
2000-09-20,421.6
2000-09-21,421.7
2000-09-22,422.01
2000-09-25,421.38
2000-09-26,421.56
2000-09-27,423.7
2000-09-29,423.9
2000-10-02,427.76
2000-10-03,430.22
2000-10-13,429.46
2000-10-16,433.92
2000-10-17,440.97
2000-10-18,453.46
2000-10-19,463.71
2000-10-20,471.12
2000-10-23,475.38
2000-10-24,479.66
2000-10-25,476.9
2000-10-30,471.55
2000-10-31,468.76
2000-11-01,472.02
2000-11-02,472.48
2000-11-03,475.43
2000-11-06,482.93
2000-11-07,493.94
2000-11-09,499.11
2000-11-10,505.91
2000-11-13,507.51
2000-11-14,513.7
2000-11-15,519.33
2000-11-16,526.9
2000-11-17,540.28
2000-11-20,543.44
2000-11-21,544.14
2000-11-22,544.94
2000-11-23,545.82
2000-11-24,543.85
2000-11-27,533.96
2000-11-28,510.86
2000-11-29,489.32
2000-11-30,502.85
2000-12-01,508.58
2000-12-04,508.98
2000-12-05,502.75
2000-12-06,500.48
2000-12-07,497.24
2000-12-08,494.22
2000-12-11,495.65
2000-12-12,489.74
2000-12-13,488.01
2000-12-14,484.53
2000-12-15,486.05
2000-12-18,487.4
2000-12-19,488.5
2000-12-20,488.5
2000-12-21,489.74
2000-12-22,489.07
2000-12-25,494.71
2000-12-26,493.4
2000-12-27,489.03
2000-12-31,488.01
2001-01-01,487.26
2001-01-02,486.09
2001-01-03,486.58
2001-01-04,486.56
2001-01-05,482.2
2001-01-08,479.23
2001-01-09,474.52
2001-01-10,468.4
2001-01-12,464.76
2001-01-15,462.59
2001-01-16,460.86
2001-01-17,460.29
2001-01-18,458.82
2001-01-19,458.37
2001-01-22,459.28
2001-01-23,460.79
2001-01-24,460.5
2001-01-25,465.37
2001-01-26,467.35
2001-01-30,468.41
2001-01-31,468.07
2001-02-01,467.02
2001-02-02,465.39
2001-02-05,462.52
2001-02-06,464.01
2001-02-07,460.85
2001-02-08,458.73
2001-02-09,455.34
2001-02-12,451.57
2001-02-13,452.53
2001-02-14,443.35
2001-02-15,439.41
2001-02-16,431.45
2001-02-19,430.77
2001-02-20,424.92
2001-02-22,415.1
2001-02-23,402.55
2001-02-27,398
2001-02-28,375.29
2001-03-01,375.17
2001-03-02,377.2
2001-03-05,391.59
2001-03-06,393.6
2001-03-07,393.24
2001-03-08,396.26
2001-03-12,397.61
2001-03-13,395.85
2001-03-14,391.88
2001-03-15,390.88
2001-03-16,390.2
2001-03-19,388.4
2001-03-20,385.45
2001-03-21,378.49
2001-03-22,377.48
2001-03-23,376.98
2001-03-26,382.58
2001-03-27,373.97
2001-03-28,375.07
2001-03-29,378.01
2001-03-30,386.87
2001-04-03,375.95
2001-04-04,376.97
2001-04-05,372.86
2001-04-06,374.58
2001-04-09,409.56
2001-04-10,372.62
2001-04-11,369.99
2001-04-12,370.31
2001-04-13,369.05
2001-04-16,366.6
2001-04-17,366.21
2001-04-18,367.37
2001-04-19,366.39
2001-04-20,366.78
2001-04-23,365.58
2001-04-24,366.13
2001-04-25,365.84
2001-04-26,366.52
2001-04-27,367.98
2001-04-30,368.38
2001-05-01,366.73
2001-05-02,366.98
2001-05-03,365.2
2001-05-04,365.25
2001-05-08,364.63
2001-05-09,360.81
2001-05-10,358.28
2001-05-11,355.6
2001-05-14,351.08
2001-05-15,344.02
2001-05-16,332.84
2001-05-17,329.8
2001-05-18,364.19
2001-05-21,334.26
2001-05-22,334.26
2001-05-23,336.98
2001-05-24,337.46
2001-05-25,339.24
2001-05-28,338.99
2001-05-29,338.73
2001-05-30,339.49
2001-05-31,340.43
2001-06-01,342.25
2001-06-12,338.05
2001-06-13,333.18
2001-06-15,331.3
2001-06-18,332.81
2001-06-19,334.5
2001-06-20,336.22
2001-06-21,336.87
2001-06-25,336.34
2001-06-26,335.17
2001-06-27,334.39
2001-06-28,333.8
2001-06-29,332.69
2001-07-02,331.05
2001-07-03,327.94
2001-07-04,325.94
2001-07-05,324.75
2001-07-06,327.28
2001-07-09,322.94
2001-07-10,322.74
2001-07-11,326.14
2001-07-12,334.75
2001-07-13,348.43
2001-07-16,352.25
2001-07-17,346.8
2001-07-18,343.13
2001-07-19,337.88
2001-07-20,334.64
2001-07-23,329.77
2001-07-24,329.89
2001-07-25,321.16
2001-07-26,321.16
2001-07-27,321.96
2001-07-30,322.45
2001-07-31,323.64
2001-08-01,325.21
2001-08-02,325.6
2001-08-03,316.92
2001-08-06,321.12
2001-08-07,329.51
2001-08-08,329.09
2001-08-09,319.9
2001-08-10,319.49
2001-08-13,316.39
2001-08-14,314.04
2001-08-15,314.95
2001-08-16,322.13
2001-08-17,320.32
2001-08-20,312.41
2001-08-21,317.34
2001-08-22,309.91
2001-08-23,299.34
2001-08-24,298.85
2001-08-27,295.17
2001-08-28,292.53
2001-08-29,281.13
2001-08-30,280.37
2001-08-31,281.04
2001-09-03,281.83
2001-09-04,282.95
2001-09-05,282.78
2001-09-06,280.93
2001-09-07,280.93
2001-09-10,276.91
2001-09-11,274.34
2001-09-12,269.17
2001-09-13,261.37
2001-09-14,265.22
2001-09-17,273.01
2001-09-18,275.13
2001-09-19,279.92
2001-09-21,283.38
2001-09-24,279.65
2001-09-25,277.79
2001-09-26,275.23
2001-09-27,275.09
2001-09-28,276.07
2001-10-01,276.46
2001-10-02,278.01
2001-10-03,281.39
2001-10-04,282.11
2001-10-05,282.34
2001-10-08,282.88
2001-10-09,282.16
2001-10-10,282.83
2001-10-11,281.89
2001-10-12,282.05
2001-10-15,282.79
2001-10-16,281.21
2001-10-17,281.5
2001-10-18,281.8
2001-10-19,282.75
2001-10-22,283.06
2001-10-30,285.25
2001-10-31,287.17
2001-11-01,287.79
2001-11-02,289.98
2001-11-05,290.97
2001-11-06,296.35
2001-11-07,297.52
2001-11-09,297.19
2001-11-12,298.13
2001-11-13,300.15
2001-11-19,300.36
2001-11-20,299.55
2001-11-21,299.38
2001-11-22,297.51
2001-11-23,296.01
2001-11-26,290.07
2001-11-27,283.98
2001-11-28,288.83
2001-11-30,287.7
2001-12-03,288.72
2001-12-04,286.18
2001-12-05,287.78
2001-12-06,288.97
2001-12-07,290.57
2001-12-10,290.49
2001-12-11,288.37
2001-12-12,287.42
2001-12-13,286.9
2001-12-14,284.48
2001-12-17,283.33
2001-12-18,283.75
2001-12-19,282.8
2001-12-20,280.62
2001-12-21,280.05
2001-12-24,277.84
2001-12-25,278.21
2001-12-26,274.36
2001-12-27,273.2
2001-12-28,271.43
2001-12-31,269.75
2002-01-01,266.28
2002-01-02,263.03
2002-01-03,261.08
2002-01-07,260.67
2002-01-09,262.82
2002-01-10,255.92
2002-01-14,258.91
2002-01-15,265.62
2002-01-16,262.85
2002-01-17,260.65
2002-01-18,259.75
2002-01-21,257.73
2002-01-22,255.91
2002-01-23,254.98
2002-01-25,256.84
2002-01-28,254.77
2002-01-30,252.73
2002-01-31,251.96
2002-02-01,251.41
2002-02-04,248.72
2002-02-06,245.4
2002-02-07,240.41
2002-02-11,236.06
2002-02-12,236.01
2002-02-13,236.6
2002-02-14,234.97
2002-02-15,234.82
2002-02-18,233.75
2002-02-20,230.5
2002-02-21,228.75
2002-02-22,226.03
2002-02-25,225.11
2002-02-26,223.46
2002-02-27,222.45
2002-02-28,220.28
2002-03-01,218.59
2002-03-04,215.89
2002-03-05,211.76
2002-03-06,208.53
2002-03-07,204.79
2002-03-08,198.37
2002-03-11,195.46
2002-03-13,193.83
2002-03-14,187.88
2002-03-15,186.22
2002-03-18,186.94
2002-03-19,192.71
2002-03-20,200.18
2002-03-21,204.28
2002-03-22,209.07
2002-03-25,213.74
2002-03-26,213.71
2002-03-27,205.52
2002-03-29,198.81
2002-04-01,201.06
2002-04-02,209.7
2002-04-03,211.11
2002-04-04,208.94
2002-04-05,208.93
2002-04-06,212.66
2002-04-09,214.55
2002-04-10,216.45
2002-04-11,219.14
2002-04-12,216.21
2002-04-15,214.94
2002-04-16,215.15
2002-04-17,216.36
2002-04-18,216.94
2002-04-19,217.14
2002-04-22,215.1
2002-04-23,215.45
2002-04-24,216.83
2002-04-25,218.09
2002-04-26,218.55
2002-04-29,219.51
2002-04-30,220.17
2002-05-01,221.43
2002-05-02,221.81
2002-05-03,224.69
2002-05-06,230.77
2002-05-07,240.04
2002-05-08,243.63
2002-05-09,234.72
2002-05-10,240.46
2002-05-13,238.65
2002-05-14,239.09
2002-05-15,238.42
2002-05-16,237.62
2002-05-17,239.54
2002-05-20,239.9
2002-05-21,241.08
2002-05-22,241.45
2002-05-23,235.88
2002-05-24,233.19
2002-05-27,234.04
2002-05-28,233.47
2002-05-29,234.15
2002-05-30,233.89
2002-05-31,233.28
2002-06-03,232.81
2002-06-04,232.59
2002-06-05,232.79
2002-06-06,231.83
2002-06-07,231.17
2002-06-10,231.45
2002-06-11,231.34
2002-06-12,230.69
2002-06-13,228.26
2002-06-14,226.04
2002-06-17,225.29
2002-06-18,226.83
2002-06-19,227.24
2002-06-21,227.67
2002-06-24,229.1
2002-06-25,229.33
2002-06-26,229.36
2002-07-01,229.2
2002-07-02,229.18
2002-07-03,228.27
2002-07-04,227.16
2002-07-05,226.48
2002-07-08,226.23
2002-07-10,224.48
2002-07-11,223.67
2002-07-12,222.86
2002-07-15,223.76
2002-07-16,227.65
2002-07-17,222.06
2002-07-19,222.08
